iter	Passed	Remaining
0	0	230
1	0	218
2	1	212
3	1	208
4	2	208
5	2	207
6	3	205
7	3	203
8	4	202
9	4	201
10	5	200
11	5	194
12	5	195
13	6	195
14	7	200
15	7	202
16	8	204
17	8	203
18	9	202
19	9	201
20	10	200
21	10	200
22	10	199
23	11	198
24	12	201
25	12	202
26	13	201
27	13	200
28	14	199
29	14	198
30	15	198
31	15	198
32	16	198
33	16	197
34	16	196
35	17	196
36	18	197
37	18	198
38	19	197
39	19	196
40	20	196
41	20	195
42	21	194
43	21	194
44	21	193
45	22	193
46	22	192
47	23	192
48	24	192
49	24	191
50	24	190
51	25	190
52	25	189
53	26	189
54	26	188
55	27	189
56	28	189
57	28	188
58	28	187
59	29	187
60	29	186
61	30	185
62	30	185
63	31	184
64	31	184
65	32	183
66	32	183
67	33	182
68	33	181
69	34	181
70	34	180
71	35	180
72	35	179
73	36	178
74	36	178
75	36	177
76	37	177
77	37	176
78	38	175
79	38	175
80	39	175
81	39	174
82	40	174
83	41	174
84	41	174
85	42	173
86	42	172
87	42	172
88	43	171
89	43	171
90	44	170
91	44	170
92	45	169
93	45	169
94	46	168
95	46	167
96	47	167
97	47	166
98	48	166
99	48	166
100	49	165
101	49	165
102	50	164
103	50	164
104	51	163
105	51	162
106	52	162
107	52	161
108	52	161
109	53	160
110	53	160
111	54	159
112	54	159
113	55	159
114	55	158
115	56	158
116	57	158
117	57	157
118	58	156
119	58	156
120	58	155
121	59	155
122	59	154
123	60	154
124	60	153
125	61	153
126	61	152
127	62	152
128	62	151
129	63	150
130	63	150
131	64	149
132	64	149
133	65	149
134	65	148
135	66	148
136	66	147
137	67	147
138	67	146
139	67	146
140	68	145
141	68	145
142	69	144
143	69	143
144	70	143
145	70	142
146	71	142
147	71	141
148	72	141
149	72	141
150	73	140
151	73	140
152	74	139
153	74	138
154	75	138
155	75	137
156	75	137
157	76	136
158	76	136
159	77	135
160	77	135
161	78	135
162	78	134
163	79	133
164	79	133
165	80	133
166	80	132
167	81	132
168	81	131
169	82	131
170	82	130
171	83	130
172	83	129
173	84	129
174	84	128
175	85	128
176	85	127
177	86	127
178	86	126
179	87	126
180	87	125
181	88	125
182	88	125
183	89	124
184	89	124
185	90	123
186	90	123
187	91	122
188	91	122
189	92	121
190	92	121
191	93	120
192	93	120
193	93	119
194	94	119
195	94	118
196	95	118
197	95	117
198	96	117
199	96	116
200	97	116
201	97	115
202	98	115
203	98	114
204	99	114
205	99	113
206	100	113
207	100	112
208	101	112
209	101	111
210	102	111
211	102	110
212	102	110
213	103	109
214	103	109
215	104	108
216	104	108
217	105	107
218	105	107
219	106	106
220	106	106
221	107	105
222	107	105
223	108	104
224	108	104
225	109	103
226	109	103
227	110	102
228	110	102
229	111	101
230	111	101
231	111	100
232	112	100
233	112	99
234	113	99
235	113	98
236	114	98
237	114	97
238	115	97
239	115	96
240	116	96
241	116	95
242	117	95
243	117	94
244	118	94
245	118	93
246	118	93
247	119	92
248	119	92
249	120	91
250	120	91
251	121	90
252	121	90
253	122	90
254	122	89
255	123	89
256	123	88
257	124	88
258	124	87
259	125	87
260	125	86
261	126	86
262	126	85
263	127	85
264	127	84
265	127	84
266	128	83
267	128	83
268	129	82
269	129	82
270	130	81
271	130	81
272	131	80
273	131	80
274	132	79
275	132	79
276	133	78
277	133	78
278	134	77
279	134	77
280	134	76
281	135	76
282	135	75
283	136	75
284	136	74
285	137	74
286	137	73
287	138	73
288	138	73
289	139	72
290	139	72
291	140	71
292	140	71
293	141	70
294	141	70
295	142	69
296	142	69
297	143	68
298	143	68
299	144	67
300	144	67
301	144	66
302	145	66
303	146	65
304	146	65
305	146	64
306	147	64
307	147	63
308	148	63
309	148	62
310	149	62
311	149	61
312	150	61
313	150	60
314	151	60
315	151	59
316	152	59
317	152	58
318	152	58
319	153	58
320	154	57
321	154	57
322	155	56
323	155	56
324	156	55
325	156	55
326	156	54
327	157	54
328	157	53
329	158	53
330	158	52
331	159	52
332	159	51
333	160	51
334	160	50
335	161	50
336	161	49
337	162	49
338	162	48
339	163	48
340	163	47
341	163	47
342	164	46
343	164	46
344	165	46
345	165	45
346	166	45
347	166	44
348	167	44
349	167	43
350	168	43
351	168	42
352	169	42
353	169	41
354	170	41
355	170	40
356	171	40
357	171	39
358	172	39
359	172	38
360	172	38
361	173	37
362	173	37
363	174	36
364	174	36
365	175	35
366	175	35
367	176	34
368	176	34
369	177	33
370	177	33
371	178	33
372	178	32
373	179	32
374	179	31
375	180	31
376	180	30
377	180	30
378	181	29
379	181	29
380	182	28
381	182	28
382	183	27
383	183	27
384	184	26
385	184	26
386	185	25
387	185	25
388	186	24
389	187	24
390	187	23
391	188	23
392	188	23
393	188	22
394	189	22
395	189	21
396	190	21
397	190	20
398	191	20
399	191	19
400	192	19
401	192	18
402	193	18
403	193	17
404	194	17
405	194	16
406	195	16
407	195	15
408	196	15
409	196	14
410	197	14
411	197	13
412	198	13
413	198	12
414	198	12
415	199	11
416	199	11
417	200	11
418	200	10
419	201	10
420	201	9
421	202	9
422	202	8
423	203	8
424	203	7
425	204	7
426	204	6
427	205	6
428	205	5
429	206	5
430	206	4
431	207	4
432	207	3
433	208	3
434	208	2
435	209	2
436	209	1
437	210	1
438	210	0
439	211	0
440	211	0
