iter	Passed	Remaining
0	1	977
1	2	962
2	3	1004
3	4	989
4	5	982
5	6	972
6	8	984
7	10	1063
8	11	1077
9	12	1057
10	14	1061
11	15	1071
12	16	1073
13	18	1085
14	19	1081
15	21	1097
16	22	1091
17	23	1085
18	25	1119
19	27	1137
20	29	1142
21	30	1131
22	31	1119
23	32	1114
24	33	1107
25	35	1111
26	36	1108
27	38	1104
28	39	1099
29	40	1094
30	42	1098
31	43	1102
32	44	1095
33	46	1105
34	47	1103
35	49	1106
36	51	1109
37	52	1105
38	53	1101
39	54	1097
40	55	1092
41	57	1096
42	59	1103
43	60	1103
44	62	1097
45	63	1092
46	64	1091
47	65	1085
48	67	1083
49	68	1080
50	69	1078
51	70	1076
52	72	1073
53	73	1072
54	75	1077
55	76	1077
56	78	1074
57	79	1076
58	81	1074
59	82	1075
60	84	1076
61	85	1077
62	87	1075
63	88	1073
64	90	1076
65	91	1073
66	92	1068
67	93	1066
68	94	1061
69	96	1064
70	97	1062
71	99	1065
72	101	1063
73	102	1059
74	103	1056
75	104	1054
76	106	1054
77	107	1053
78	108	1050
79	109	1046
80	111	1041
81	112	1038
82	113	1034
83	114	1031
84	116	1032
85	117	1031
86	118	1029
87	119	1025
88	121	1023
89	122	1021
90	123	1018
91	124	1011
92	125	1008
93	126	1006
94	127	1004
95	129	1003
96	130	1001
97	132	1000
98	133	999
99	134	997
100	135	995
101	137	993
102	138	991
103	139	989
104	140	987
105	141	983
106	142	979
107	144	977
108	145	976
109	146	976
110	147	973
111	149	970
112	150	968
113	151	966
114	152	964
115	153	961
116	155	959
117	156	957
118	157	954
119	158	952
120	159	950
121	161	948
122	162	947
123	163	945
124	165	945
125	166	943
126	167	941
127	168	939
128	169	937
129	171	936
130	172	935
131	173	933
132	175	931
133	176	930
134	177	929
135	178	927
136	180	926
137	181	925
138	182	923
139	184	921
140	185	919
141	186	919
142	187	917
143	189	915
144	190	914
145	191	912
146	192	910
147	194	909
148	195	907
149	196	906
150	197	904
151	199	903
152	200	901
153	201	900
154	202	898
155	204	897
156	205	895
157	206	894
158	208	892
159	209	890
160	210	889
161	212	888
162	213	887
163	214	885
164	215	883
165	216	882
166	218	880
167	219	878
168	220	878
169	222	877
170	223	875
171	224	873
172	225	872
173	226	869
174	228	868
175	229	867
176	230	864
177	231	862
178	232	860
179	233	859
180	235	857
181	236	855
182	237	853
183	238	852
184	239	850
185	241	849
186	242	847
187	243	846
188	244	844
189	246	843
190	247	841
191	248	840
192	249	838
193	250	836
194	252	835
195	253	833
196	254	832
197	255	830
198	256	828
199	258	827
200	259	825
201	260	824
202	261	822
203	262	820
204	264	819
205	265	817
206	266	816
207	267	815
208	269	814
209	270	813
210	271	811
211	273	810
212	274	809
213	275	808
214	277	806
215	278	805
216	279	803
217	280	802
218	281	800
219	283	799
220	284	797
221	285	796
222	287	795
223	288	794
224	289	793
225	291	792
226	292	790
227	293	789
228	295	788
229	296	787
230	297	785
231	298	784
232	299	782
233	301	781
234	302	780
235	303	778
236	304	777
237	306	775
238	307	773
239	308	772
240	310	771
241	311	770
242	312	769
243	313	768
244	315	766
245	316	765
246	317	764
247	319	763
248	320	761
249	321	759
250	322	758
251	323	756
252	325	755
253	326	754
254	327	753
255	329	751
256	330	750
257	331	749
258	332	748
259	334	746
260	335	745
261	336	744
262	337	742
263	339	741
264	340	740
265	341	738
266	343	737
267	344	735
268	345	734
269	346	733
270	348	732
271	349	730
272	350	728
273	351	727
274	352	725
275	353	724
276	354	722
277	356	721
278	357	719
279	358	718
280	360	717
281	361	716
282	362	714
283	363	713
284	364	711
285	365	710
286	367	709
287	368	707
288	369	706
289	371	704
290	372	703
291	373	702
292	374	701
293	376	700
294	377	698
295	378	697
296	379	695
297	381	694
298	382	693
299	383	691
300	384	690
301	385	688
302	387	687
303	388	685
304	389	684
305	390	683
306	392	682
307	393	680
308	394	679
309	395	677
310	396	676
311	398	674
312	399	673
313	400	672
314	401	671
315	403	669
316	404	668
317	405	666
318	406	665
319	408	664
320	409	662
321	410	661
322	411	660
323	412	658
324	413	657
325	415	655
326	416	654
327	417	652
328	418	651
329	419	650
330	420	648
331	422	647
332	423	645
333	424	644
334	425	643
335	427	642
336	428	640
337	429	639
338	430	637
339	431	635
340	432	634
341	434	633
342	435	632
343	436	630
344	437	629
345	438	627
346	440	627
347	441	625
348	443	624
349	444	623
350	445	622
351	446	620
352	448	619
353	449	618
354	451	617
355	452	616
356	453	614
357	454	613
358	456	612
359	457	611
360	458	610
361	460	608
362	461	607
363	462	605
364	463	604
365	464	603
366	466	601
367	467	600
368	468	598
