iter	Passed	Remaining
0	140	20935
1	278	20618
2	416	20428
3	554	20253
4	693	20108
5	830	19941
6	968	19777
7	1105	19630
8	1243	19478
9	1380	19328
10	1518	19182
11	1655	19040
12	1793	18905
13	1931	18763
14	2069	18627
15	2208	18493
16	2345	18353
17	2515	18443
18	2653	18296
19	2791	18144
20	2929	17992
21	3066	17843
22	3204	17694
23	3342	17549
24	3480	17400
25	3619	17262
26	3757	17117
27	3895	16972
28	4032	16826
29	4169	16679
30	4306	16532
31	4444	16389
32	4582	16245
33	4719	16102
34	4857	15959
35	4994	15815
36	5131	15671
37	5269	15531
38	5407	15389
39	5544	15246
40	5681	15104
41	5818	14962
42	5956	14821
43	6093	14680
44	6231	14539
45	6368	14398
46	6505	14257
47	6643	14117
48	6781	13978
49	6918	13837
50	7057	13698
51	7193	13557
52	7331	13417
53	7469	13279
54	7607	13140
55	7744	13000
56	7882	12860
57	8019	12720
58	8157	12581
59	8295	12443
60	8433	12304
61	8572	12167
62	8709	12027
63	8848	11889
64	8986	11751
65	9123	11612
66	9261	11473
67	9400	11335
68	9537	11196
69	9676	11058
70	9814	10920
71	9952	10781
72	10089	10642
73	10227	10504
74	10365	10365
75	10502	10226
76	10639	10086
77	10775	9946
78	10914	9809
79	11053	9671
80	11191	9533
81	11327	9393
82	11465	9255
83	11601	9115
84	11739	8976
85	11876	8838
86	12013	8699
87	12150	8560
88	12288	8422
89	12427	8285
90	12565	8147
91	12702	8008
92	12841	7870
93	12979	7732
94	13118	7594
95	13259	7458
96	13397	7320
97	13535	7182
98	13673	7043
99	13811	6905
100	13948	6766
101	14086	6628
102	14223	6490
103	14360	6351
104	14499	6213
105	14638	6076
106	14775	5937
107	14912	5799
108	15051	5661
109	15188	5522
110	15326	5384
111	15464	5246
112	15601	5108
113	15739	4970
114	15876	4832
115	16015	4694
116	16152	4555
117	16291	4418
118	16430	4280
119	16567	4141
120	16705	4003
121	16843	3865
122	16981	3727
123	17119	3589
124	17258	3451
125	17395	3313
126	17534	3175
127	17673	3037
128	17811	2899
129	17948	2761
130	18085	2623
131	18224	2485
132	18362	2347
133	18500	2209
134	18637	2070
135	18776	1932
136	18915	1794
137	19052	1656
138	19190	1518
139	19327	1380
140	19464	1242
141	19601	1104
142	19739	966
143	19877	828
144	20016	690
145	20156	552
146	20293	414
147	20432	276
148	20571	138
149	20709	0
