iter	Passed	Remaining
0	118	11735
1	240	11769
2	360	11669
3	486	11682
4	611	11610
5	736	11537
6	866	11508
7	990	11390
8	1124	11366
9	1253	11279
10	1378	11154
11	1505	11037
12	1632	10927
13	1759	10807
14	1903	10787
15	2034	10682
16	2168	10588
17	2302	10488
18	2446	10431
19	2577	10309
20	2709	10192
21	2852	10114
22	2979	9975
23	3115	9866
24	3241	9725
25	3370	9591
26	3497	9457
27	3625	9323
28	3751	9185
29	3882	9059
30	4009	8925
31	4136	8791
32	4263	8656
33	4392	8526
34	4516	8388
35	4643	8254
36	4771	8125
37	4899	7994
38	5024	7859
39	5152	7729
40	5276	7593
41	5401	7459
42	5527	7327
43	5655	7197
44	5784	7069
45	5910	6938
46	6037	6808
47	6162	6675
48	6287	6544
49	6415	6415
50	6538	6282
51	6663	6151
52	6792	6023
53	6918	5893
54	7043	5762
55	7169	5633
56	7293	5501
57	7419	5372
58	7542	5241
59	7668	5112
60	7796	4984
61	7921	4855
62	8046	4725
63	8173	4597
64	8298	4468
65	8423	4339
66	8548	4210
67	8672	4081
68	8803	3955
69	8930	3827
70	9053	3697
71	9178	3569
72	9302	3440
73	9425	3311
74	9553	3184
75	9690	3060
76	9825	2934
77	9951	2806
78	10080	2679
79	10208	2552
80	10337	2424
81	10465	2297
82	10593	2169
83	10722	2042
84	10852	1915
85	10981	1787
86	11106	1659
87	11232	1531
88	11360	1404
89	11486	1276
90	11612	1148
91	11741	1020
92	11871	893
93	12000	765
94	12127	638
95	12254	510
96	12379	382
97	12505	255
98	12632	127
99	12757	0
