iter	MultiClass
0	2.029067638
1	1.834518925
2	1.692087849
3	1.573284918
4	1.480576678
5	1.400048359
6	1.323330865
7	1.264102789
8	1.206199612
9	1.151660268
10	1.104111347
11	1.058416899
12	1.019165984
13	0.9838330062
14	0.9472219452
15	0.9152113171
16	0.881487194
17	0.8504224198
18	0.8265573731
19	0.8026986461
20	0.7802950638
21	0.7607387302
22	0.7427427501
23	0.7218415569
24	0.7058085101
25	0.6929229939
26	0.6763457083
27	0.6632080177
28	0.6491326149
29	0.6364694925
30	0.6236708374
31	0.6108591844
32	0.5970283176
33	0.5838290975
34	0.5740548858
35	0.5643298317
36	0.5544596314
37	0.5455542231
38	0.5385404021
39	0.5296718467
40	0.5223611532
41	0.5141465093
42	0.5069084906
43	0.4994381368
44	0.4917394659
45	0.4840165277
46	0.4760889257
47	0.4704429689
48	0.4640255555
49	0.4582618157
50	0.4524970032
51	0.4485426334
52	0.444291047
53	0.4386487598
54	0.4330874332
55	0.4284367357
56	0.424552004
57	0.4194097211
58	0.4148195803
59	0.4095864038
60	0.4046961352
61	0.4007224795
62	0.3971312556
63	0.3923646219
64	0.388395663
65	0.3835359712
66	0.3791937662
67	0.3762912917
68	0.3715774658
69	0.3675843994
70	0.3652514474
71	0.3616283897
72	0.3584228919
73	0.3545279047
74	0.351940593
75	0.3489430618
76	0.3456708338
77	0.3438485772
78	0.3407610967
79	0.3391644591
80	0.3373441515
81	0.3347621981
82	0.3318912822
83	0.3294554343
84	0.3271907568
85	0.3241423905
86	0.3222513639
87	0.3205778962
88	0.3169553544
89	0.3155525918
90	0.3137496636
91	0.3103171301
92	0.3083905142
93	0.3056453075
94	0.3031228153
95	0.3019139972
96	0.3003779029
97	0.2981160752
98	0.2961936265
99	0.2946181428
