iter	Passed	Remaining
0	104	10303
1	208	10231
2	319	10329
3	432	10371
4	541	10288
5	654	10253
6	768	10207
7	878	10097
8	987	9988
9	1098	9889
10	1210	9791
11	1321	9693
12	1437	9619
13	1555	9553
14	1674	9488
15	1789	9394
16	1900	9280
17	2013	9172
18	2126	9063
19	2236	8946
20	2370	8916
21	2492	8835
22	2616	8758
23	2738	8673
24	2853	8561
25	2963	8435
26	3083	8336
27	3196	8219
28	3308	8100
29	3420	7981
30	3550	7902
31	3775	8023
32	3903	7925
33	4025	7814
34	4147	7703
35	4273	7597
36	4398	7488
37	4521	7377
38	4650	7273
39	4774	7162
40	4890	7037
41	5008	6916
42	5127	6797
43	5246	6677
44	5366	6559
45	5484	6438
46	5604	6319
47	5727	6204
48	5846	6085
49	5966	5966
50	6081	5843
51	6197	5721
52	6312	5597
53	6426	5474
54	6542	5353
55	6659	5232
56	6775	5111
57	6889	4989
58	7004	4867
59	7118	4745
60	7231	4623
61	7354	4507
62	7476	4391
63	7600	4275
64	7734	4164
65	7868	4053
66	7987	3934
67	8111	3817
68	8230	3697
69	8347	3577
70	8461	3456
71	8575	3334
72	8697	3216
73	8818	3098
74	8932	2977
75	9049	2857
76	9163	2737
77	9279	2617
78	9393	2497
79	9505	2376
80	9617	2256
81	9732	2136
82	9847	2016
83	9959	1897
84	10069	1777
85	10181	1657
86	10292	1537
87	10403	1418
88	10516	1299
89	10635	1181
90	10759	1064
91	10875	945
92	10996	827
93	11123	709
94	11245	591
95	11414	475
96	11528	356
97	11641	237
98	11760	118
99	11879	0
