iter	Passed	Remaining
0	60	30430
1	63	15846
2	66	10965
3	68	8510
4	70	7018
5	73	6019
6	75	5316
7	77	4787
8	80	4375
9	82	4041
10	85	3781
11	87	3553
12	89	3358
13	92	3195
14	94	3060
15	97	2934
16	99	2822
17	101	2725118	104	2639
19	106	2560
20	108	2482221	111	2411222	112	2341223	115	2289224	117	2238225	120	2202226	123	2162227	125	2120228	128	2080229	130	2045330	133	2019
31	136	1991
32	138	1963
33	141	1940
34	144	1915335	146	1889336	149	1875
37	152	1857
38	155	1837
39	158	1827
40	162	1817
41	165	1806
42	169	1796
43	172	1791
44	176	1782
45	179	1770
46	182	1761
47	186	1751
48	189	1740
49	192	1735
50	196	1727
51	199	1720
52	203	1713
53	206	1706554	213	1727
55	217	1722
56	220	1715
57	224	1710558	227	1703
59	231	1696
60	232	1671
61	235	1665
62	239	1662
63	243	1655
64	246	1649
65	249	1641666	253	1638
67	257	1632668	260	1627669	266	1639
70	272	1648
71	276	1642
72	280	1641
73	283	1634
74	287	1628
75	291	1624
76	295	1620
77	298	1615
78	302	1610
79	305	1605
80	309	1599
81	312	1594
82	316	1589883	320	1587
84	323	1580
85	327	1575
86	330	1570
87	334	1564
88	337	1559
89	340	1552
90	344	1547
91	347	1541
92	351	1536
93	354	1530
94	357	1525
95	361	1519
96	364	1513
97	367	1508
98	371	1503
99	374	1497
100	377	1491
101	380	14851102	384	1480
103	387	1475
104	390	14701105	394	1464
106	397	1459
107	400	1454
108	404	1449
109	407	1443
110	410	1438
111	413	1433
112	416	1428
113	420	1422
114	423	1417
115	426	1412
116	429	1406
117	433	1401
118	436	1397
119	439	1392
120	442	1387
121	446	1382
122	449	1376
123	452	1371
124	455	1366
125	458	1361
126	461	1356
127	465	1351
128	468	1347
129	471	1342
130	474	1337
131	478	1332
132	481	1328
133	484	1324
134	487	1319
135	491	1315
136	494	1310
137	497	1306
138	501	1301
139	504	1297
140	507	1293
141	511	1289
142	514	1284
143	518	1280
144	521	1276
145	524	1271
146	527	1267
147	531	1263
148	534	1258
149	537	1254
150	541	1250
151	544	1246
152	547	1242
153	551	1238
154	554	1234
155	557	1230
156	561	1226
157	564	1221
158	567	1217
159	570	1213
160	574	1209
161	577	1205
162	580	1200
163	583	1196
164	586	1191
165	589	1186
166	593	1182
167	596	1178
168	599	1173
169	602	1169
170	605	1165
171	609	1161
172	612	1158
173	615	1153
174	619	1149
175	622	1145
176	626	1142
177	629	1138
178	632	1135
179	635	1130
180	639	1126
181	642	1123
182	646	1119
183	649	1115
184	652	1111
185	655	1107
186	659	1103
187	662	1099
188	666	1096
189	669	1092
190	672	1088
191	676	1084
192	679	1080
193	682	1076
194	685	1072
195	689	1068
196	692	1064
197	695	1061
198	698	1057
199	702	1053
200	705	1049
201	708	1045
202	712	1041
203	715	1037
204	718	1034
205	722	1030
206	725	1026
207	728	1023
208	732	1019
209	735	1015
210	738	1011
211	741	1007
212	745	1003
213	748	10002214	751	9962215	754	9212216	758	9882217	761	9842218	764	9812219	767	9772220	771	9732221	774	9702222	777	9662223	781	9622224	784	9582225	787	9552226	791	9512227	794	9482228	798	9442229	801	9402230	804	9362231	807	9332232	811	9292233	814	9252234	817	9212235	820	9182236	823	9142237	826	9102238	830	9062239	833	9022240	836	8992241	840	8952242	843	8912243	846	8882244	850	8842245	853	8812246	858	8792247	861	8752248	864	8712249	868	8682250	871	8642251	874	8612252	878	8572253	881	8532254	885	8502255	888	8462256	891	8432257	895	8392258	898	8362259	901	8262260	905	8292261	908	8252262	912	8222263	915	8182264	918	8142265	922	8112266	925	8072267	929	8042268	932	8002269	935	7972270	939	7272271	942	7902272	946	7862273	949	7272274	952	7272275	956	7272276	959	7272277	962	7272278	966	7272279	969	7282280	973	7282281	976	7282282	979	7282283	983	7282284	986	7282285	990	7282286	993	7282287	996	7282288	1000	2892289	1003	2902290	1006	2912291	1010	2922292	1013	2932293	1016	2942294	1020	2952295	1023	2962296	1026	7012297	1030	2982298	1033	2992299	1036	3003300	1040	3013301	1043	3023302	1047	3033303	1050	3043304	1053	3053305	1056	3063306	1060	3073307	1063	6633308	1066	3093309	1070	3103310	1073	3113311	1076	3123312	1080	3133313	1083	3143314	1087	3153315	1090	3163316	1094	6313317	1097	6283318	1101	6243319	1104	6213320	1107	6173321	1111	6143322	1114	6103323	1118	6073324	1121	6033325	1124	6003326	1128	5963327	1131	5933328	1135	5903329	1138	5863330	1141	5823331	1145	5793332	1148	5753333	1151	5723334	1155	5683335	1158	5653336	1161	5613337	1164	5583338	1167	5543339	1170	5513340	1174	5473341	1177	5443342	1181	5403343	1184	5373344	1187	5333345	1191	5303346	1194	5263347	1198	5233348	1201	519
349	1205	516
350	1208	513
351	1212	509
352	1215	506
353	1219	502
354	1222	499
